Project Name,Lat,Lon,Energy,Installed Capacity (kW),Registered As
Kingshott School [Solar for Schools],51.939069,-0.25770129,Solar,30,School
Beacon Hill Academy [Solar for Schools],52.533419,-2.1097694,Solar,50,School
Coombe Girls' School [Solar for Schools],51.410242,-0.26319657,Solar,50,School
Yewlands Academy [Solar for Schools],53.435383,-1.4859251,Solar,33,School
Rice Lane Primary School and Nursery [Solar for Schools],53.459083,-2.9633421,Solar,50,School
Oasis Academy Shirley Park [Solar for Schools],51.382872,-0.06325472,Solar,50,School
Reddish Vale High School [Solar for Schools],53.437225,-2.1533802,Solar,46,School
Penair School [Solar for Schools],50.267548,-5.0308059,Solar,38,School
Maidensbridge Primary School [Solar for Schools],52.510404,-2.1774748,Solar,47,School
Millfields Primary School [Solar for Schools],51.859585,0.96939634,Solar,26,School
West Park School [Solar for Schools],52.921773,-1.4128682,Solar,50,School
Datblygiadau Egni Gwledig (DEG),53.07914,-4.31408,Energy Efficiency,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Ynni Ogwen,53.18071,-4.06418,Energy Efficiency,leer,Registered society
YnNi Padarn Peris,53.11989,-4.12806,Energy Efficiency,leer,Registered society
Steyning 10:10 Climate Action Group,50.88912,-0.33115,Energy Efficiency,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Energy4All,54.11849,-3.24165,Energy Efficiency,leer,Private limited Company
Two Rivers Communjity Energy Organisation (Marks and Spencer Energy ),54.11849,-3.24165,Energy Efficiency,leer,Registered society
Basingstoke Energy Services Co-operative,51.26789,-1.0775,Energy Efficiency,leer,Registered Society
Energy Efficient Widcombe,51.37716,-2.34992,Energy Efficiency,leer,Council
Transition Bath,51.37216,-2.37085,Energy Efficiency,leer,Private company limited by guarantee without share capital
Green  Buildings,54.62729,-2.09327,Energy Efficiency,leer,Private limited Company
Sport in Desford,52.62186,-1.29307,Energy Efficiency,leer,Private limited Company
The Green Valleys,51.85837,-3.13595,Energy Efficiency,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Brighton & Hove Energy Services Co-operative (BHESCo),50.82795,-0.14192,Energy Efficiency,leer,Private limited Company
The C.H.E.E.S.E. Project (Cold Homes Energy Efficiency Survey Experts),51.47088,-2.63603,Energy Efficiency,leer,Private limited Company
Bedminster Energy Group,51.44239,-2.61352,Energy Efficiency,leer,Private limited Company
Bristol Energy Network,51.45256,-2.58808,Energy Efficiency,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Easton Energy Group,51.46187,-2.56323,Energy Efficiency,leer,Registered Society
Communities For Renewables CIC,50.17158,-5.12812,Energy Efficiency,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Transition Cambridge,52.21575,0.13349,Energy Efficiency,leer,Private limited Company
YnNi Teg,51.85959,-4.48547,Energy Efficiency,leer,Registered society
 Energy Pembrokeshire,51.79869,-4.73501,Energy Efficiency,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Carmarthenshire Energy /Ynni Sir Gar,51.85713,-4.31141,Energy Efficiency,leer,Registered society
Upcott House,50.74351,-4.01431,Energy Efficiency,leer,Private company limited by guarantee without share capital
Orchard Community Energy,51.41579,-2.20353,Energy Efficiency,leer,Community Benefit Society
Holywell & District Transition Group,53.27626,-3.22055,Energy Efficiency,leer,Other
Brixton Energy,51.46332,-0.11169,Energy Efficiency,leer,Registered society
Ynni Llyn,52.84954,-4.58586,Energy Efficiency,leer,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Energy Local,51.50919,-0.28138,Energy Efficiency,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Ealing Transition,51.50515,-0.30731,Energy Efficiency,leer,Other
Exeter Community Energy,50.61924,-3.40684,Energy Efficiency,leer,Registered Society
SidEnergy,50.69401,-3.23221,Energy Efficiency,leer,Registered Society
Energy Alton,51.14693,-0.98281,Energy Efficiency,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Ashton HaOperational Community Energy CIC,53.21793,-2.74419,Energy Efficiency,leer,Private limited Company
Gower Power Co-op CIC,51.58355,-4.10296,Energy Efficiency,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
South East London Community Energy,51.48593,0.00909,Energy Efficiency,leer,Registered Society
Harborough Solar One ,52.47948,-0.92311,Energy Efficiency,leer,Community Benefit Society
Heart of Hastings CLT,50.85551,0.57628,Energy Efficiency,leer,Registered society
Sustainable Kirtlington,51.87157,-1.27647,Energy Efficiency,leer,Registered society
Transition Buxton,53.25915,-1.91039,Energy Efficiency,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Whalley  Hydro ,53.78778,-2.41237,Energy Efficiency,leer,Registered Society
Harbury Energy Initiative,52.23716,-1.45446,Energy Efficiency,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Liverpool  Renewables,53.39026,-2.93274,Energy Efficiency,leer,Private limited Company
Lightfoot Enterprises,52.41433,-3.01516,Energy Efficiency,leer,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Carbon Co-op,53.48204,-2.23342,Energy Efficiency,leer,Registered society
 Energy Greater Manchester (CEGM),53.4726,-2.22685,Energy Efficiency,leer,Registered society
Repower Balcombe,51.13652,-0.03466,Energy Efficiency,leer,Registered society
Wolverton Community Energy,52.06073,-0.8105,Energy Efficiency,leer,Community Benefit Society
Sustainable Merton,51.40159,-0.18914,Energy Efficiency,leer,Charitable incorporated organisation
Gwent Energy CIC,51.63635,-2.68166,Energy Efficiency,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Bridges Centre,51.81041,-2.72346,Energy Efficiency,leer,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Transition Monmouth,51.81353,-2.71067,Energy Efficiency,leer,Overseas entity
ecodyfi,52.58897,-3.85188,Energy Efficiency,leer,Development Trust
Egni Co-op,51.8009,-3.82047,Energy Efficiency,leer,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Awel Coop,51.8009,-3.82047,Energy Efficiency,leer,Registered society
Calleva Community Energy,53.21252,-0.74719,Energy Efficiency,leer,Registered Society
Future Homes Alliance,54.98032,-1.61571,Energy Efficiency,leer,"Private limited Company
                       Community Interest Company (CIC)"
Teign Energy Communities ,50.52057,-3.55546,Energy Efficiency,leer,Community Benefit Society
361 Energy CIC,51.11418,-4.16975,Energy Efficiency,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Meadows Ozone Energy Services Company,52.93659,-1.14311,Energy Efficiency,leer,Private company limited by guarantee without share capital
Carbon Alternatives ,51.74382,-1.22654,Energy Efficiency,leer,Private limited Company
Low Carbon Hub,51.75293,-1.26555,Energy Efficiency,leer,Private limited Company
Rose Hill and Iffley Low Carbon (RHILC),51.73023,-1.22528,Energy Efficiency,leer,Registered society
Plymouth Energy  & PEC Renewables,50.36681,-4.15258,Energy Efficiency,leer,Private limited Company
Cwm Arian Renewable Energy ,51.95622,-4.61075,Energy Efficiency,leer,Registered Society
Reading Draughtbusters,51.45265,-0.96804,Energy Efficiency,leer,Private limited Company
Salisbury Community Energy,51.07374,-1.82185,Energy Efficiency,leer,Community Benefit Society
Marches Energy Agency,52.71488,-2.75248,Energy Efficiency,leer,Private limited Company
Sustainable Linton,52.10087,0.27729,Energy Efficiency,leer,Scottish charitable incorporated organisation
South Dartmoor Community Energy,50.39215,-3.9085,Energy Efficiency,leer,Community Benefit Society
Yealm Community Energy,50.35079,-4.03995,Energy Efficiency,leer,Registered society
Springbok Sustainable Wood Heat Cooperative ,51.18846,-0.61678,Energy Efficiency,leer,Registered society
Wey Valley Solar Schools Energy Co-Operative ,51.18846,-0.61678,Energy Efficiency,leer,School
Marshfield Energy Project,51.46313,-2.3186,Energy Efficiency,leer,Registered society
 Renewable Energy Wandsworth (CREW),51.42801,-0.14541,Energy Efficiency,leer,Registered society
Tamar Energy ,50.5409,-4.22416,Energy Efficiency,leer,Registered Society
Transition Town Totnes,50.43105,-3.68541,Energy Efficiency,leer,Private company limited by guarantee without share capital
en10ergy,51.60607,-0.08211,Energy Efficiency,leer,Registered Society
Muswell Hill Sustainability Group,51.60607,-0.08211,Energy Efficiency,leer,Other
 Energy Plus,50.26367,-5.05414,Energy Efficiency,leer,Overseas entity
Fal Energy Partnership,50.22413,-5.08544,Energy Efficiency,leer,Registered Society
Repowering ,51.46471,-0.1151,Energy Efficiency,leer,Registered Society
Brightwell cum sotwell Environment Group,51.61197,-1.15155,Energy Efficiency,leer,Other
Sustainable Blewbury,51.56196,-1.23023,Energy Efficiency,leer,Charitable incorporated organisation
Lymm Community Energy ,53.38126,-2.44433,Energy Efficiency,leer,Community Benefit Society
Forest Row Energy Co-op,51.09502,0.03465,Energy Efficiency,leer,Registered society
 Energy Local,50.82773,-0.40965,Energy Efficiency,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Phoenix Art Gallery (BHESCO),50.82883,-0.13386,Energy Efficiency,leer,Private limited Company
Montessori Place School,50.93856,0.143987,Energy Efficiency,27,School
York Energy Advice,53.95597,-1.08846,Energy Efficiency,leer,Community Benefit Society
Marina Dance Studios,50.81227,-0.1017,Energy Efficiency,leer,Private limited Company
Horsham Indoor Bowls Club,51.06734,-0.36286,Energy Efficiency,Not applicable,Private company limited by guarantee without share capital
Hollingdean  Centre,50.84306,-0.12464,Energy Efficiency,4,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Fareshare Sussex,50.85185,-0.10711,Energy Efficiency,Not applicable,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Denton Island Indoor Bowls Club,50.79671,0.049123,Energy Efficiency,Not applicable,Private company limited by guarantee without share capital
Bunker Housing Co-operative,50.82861,-0.11936,Energy Efficiency,5,Co-operative Society
Boulder Brighton,50.83564,-0.21151,Energy Efficiency,Not applicable.,Private limited Company
Warmer Homes York,53.95597,-1.08846,Energy Efficiency,Not applicable,Private limited Company
Montessori Place School,51.12143,0.2538487,Energy Efficiency,27 / 7 / 87kWh,School
Ask Rose,54.077204,-2.8425674,Energy Efficiency,Not applicable,Private limited Company
LEAP (Local Energy Advice Partnership),54.077204,-2.8425674,Energy Efficiency,Not applicable,Private limited Company
Marlow Energy Group,51.570967,-0.79262062,Energy Efficiency,Not applicable,Community Benefit Society
Green Heat Coop,52.049559,-0.013848561,Energy Efficiency,Not applicable,Private company limited by guarantee without share capital
Greater Fishponds Energy Group,51.478895,-2.5322595,Energy Efficiency,Not applicable,Other
Carbon Co-op,53.48204,-2.23342,Energy Efficiency,Not applicable,Registered society
Levenshulme Area Based Retrofit Scheme [Carbon Co-op],53.448564,-2.192313,Energy Efficiency,Not applicable,Registered society
EBENTO [Carbon Co-op,53.48204,-2.23342,Energy Efficiency,Not applicable,Private limited Company
Oldham Energy Futures [Carbon Co-op],53.540521,-2.116494,Energy Efficiency,Not applicable,Registered Society
Greater Manchester Local Energy Market [Carbon Coop],53.478237,-2.241503,Energy Efficiency,Not applicable,Registered Society
The Energy Data Co-op [Carbon Coop],53.48204,-2.23342,Energy Efficiency,Not applicable,Registered Society
Bonsall Energy Group,53.122655,-1.5857599,Energy Efficiency,Not applicable,Community Benefit Society
Dragonfly Power,50.991236,-1.4960215,Energy Efficiency,Not applicable,Private limited Company
Exeter Community Energy - Healthy Homes and Wellbeing project,53.714975,-2.0892374,Energy Efficiency,Not applicable,Registered Society
SELCE - fuel poverty and energy efficiency delivery,51.48593,0.009065,Energy Efficiency,Not applicable,Registered Society
Exeter Community Energy - leading partner in Devon Community Energy Network,50.725771,-3.5292718,Energy Efficiency,Not applicable,Registered Society
Energise Sussex Coast - delivering high quality energy advice,50.853685,0.55833641,Energy Efficiency,Not applicable,Registered society
Exeter Community Energy - delivering energy and money saving advice,50.721507,-3.5279288,Energy Efficiency,Not applicable,Registered Society
CAfS - tackling the energy price crisis,54.662119,-2.7486703,Energy Efficiency,Not applicable,Private limited Company
CREW Energy - home visits and telephone service,51.461644,-0.1481249,Energy Efficiency,Not applicable,Registered Society
Repowering London - shortlisted for engagement with residents,51.464706,-0.11510438,Energy Efficiency,Not applicable,Private company limited by guarantee without share capital
Exeter Community Energy - advice delivery reaching far and wide,50.725771,-3.5292718,Energy Efficiency,Not avalible,Registered Society
Brampton Solar Coop [Brampton 2 Zero],54.939959,-2.7252289,Energy Efficiency,Not applicable,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Developing Community Energy Projects in East Cambridgeshire,52.398363,0.25815293,Energy Efficiency,Not avalible,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
 Energy Colchester,51.857405,0.96244062,Energy Efficiency,Not avalible,Community Benefit Society
 Energy Colchester,51.857405,0.96244062,Energy Efficiency,Not avalible,Community Benefit Society
Weardale Renewable Energy,54.730721,-1.8784429,Energy Efficiency,Not avalible,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Home Energy Surveys [Enervy Action Redhill & Reigate (EARR)],51.20911,-0.16694928,Energy Efficiency,Not avalible,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Saffron Walden Community Energy,52.017994,0.24513817,Energy Efficiency,Not avalible,Community Benefit Society
Littlebury Energy Project [Saffron Walden Community Energy],52.0345,0.21157102,Energy Efficiency,Not avalible,Registered society
Springhead Trust [EnergiseSturValleyIPS],51.006615,-2.1970511,Solar PV,20,Private company limited by guarantee without share capital
Gloucestershire Communtiy Energy Cooperative ,51.705744,-2.1874585,Solar PV,51,Registered society
Amberley Museum - Arundel,50.901897,-0.53935481,Solar PV,45,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Balfour Primary School - Brighton & Hove,50.847735,-0.13834827,Solar PV,30,School
BCMY - Littlehampton,50.813885,-0.5532731,Solar PV,60,Private limited Company
Blatchington Mill School & Sixth Form College - Brighton & Hove,50.845183,-0.1813064,Solar PV,200,School
Bolney Wine Estate - Haywards Heath,50.99388,-0.21113978,Solar PV,60,Private limited Company
Carden Primary School - Brighton & Hove,50.863304,-0.12888923,Solar PV,180,School
CityCoast Centre & Church - Brighton & Hove,50.831026,-0.21082608,Solar PV,35,Private company limited by guarantee without share capital
Coldean Primary School - Brighton & Hove,50.865344,-0.11262096,Solar PV,60,School
Desmond Anderson Primary Academy - Crawley,51.098887,-0.18796559,Solar PV,60,School
East Sussex College - Ore Valley Campus - Hastings,50.869587,0.59012241,Solar PV,250,School
GBMC - Littlehampton Road - Worthing,50.825173,-0.37575528,Solar PV,60,School
GBMC - Pelham Street - Brighton & Hove,50.828269,-0.13697854,Solar PV,120,School
GBMC - Shoreham Airport - Shoreham,50.833363,-0.29115865,Solar PV,60,School
GBMC - Wilson Avenue - Brighton & Hove,50.824134,-0.10143337,Solar PV,Not avalible,School
Hertford Junior School - Brighton & Hove,50.846863,-0.12433365,Solar PV,60,School
Hove Park Upper & Lower Schools - Brighton & Hove,50.840867,-0.17959934,Solar PV,60,School
Infinity Foods Wholesale - Brighton & Hove,50.833407,-0.2606953,Solar PV,90,Private limited Company
Lindfield Primary Academy School - Haywards Heath,51.00953,-0.084150888,Solar PV,60,School
Maidstone FC - Maidstone,51.278807,0.51678857,Solar PV,140,Private limited Company
Medisort - Littlehampton,50.813885,-0.5532731,Solar PV,60,Private limited Company
Park Gate Residencial Flats - Brighton & Hove,50.829185,-0.15839857,Solar PV,100,Private limited Company
Portslade Aldridge Community Academy (PACA) - Brighton & Hove,50.850644,-0.22577387,Solar PV,100,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Rathfinny Wine Estate - Alfriston,50.798193,0.13937352,Solar PV,578,Private limited Company
Refine Metals (Autoparts UK) - Godalming,51.108825,-0.57456884,Solar PV,178,Private limited Company
RT Page & Sons - Arundel,50.812896,-0.58413441,Solar PV,100,Private company limited by guarantee without share capital
Rudyard Kipling Primary & Nursery School - Brighton & Hove,50.83383,-0.063732066,Solar PV,60,School
Shoreham Port - Lady Bee Business Centre - Brighton & Hove,50.831324,-0.23636175,Solar PV,90,Private company limited by guarantee without share capital
Shoreham Port - Hove Enterprise Centre - Brighton & Hove,50.828787,-0.20616888,Solar PV,60,Private company limited by guarantee without share capital
Shoreham Port - Hove Enterprise Centre Extension - Brighton & Hove,50.828787,-0.20616888,Solar PV,60,Private company limited by guarantee without share capital
Shoreham Port - Shed 3a - Brighton & Hove,50.827627,-0.21143881,Solar PV,200,Private limited Company
Shoreham Port - Shed 10 - Brighton & Hove,50.827627,-0.21143881,Solar PV,212,Private company limited by guarantee without share capital
Splashpoint Leisure Centre - Worthing,50.812401,-0.35956204,Solar PV,100,Private company limited by guarantee without share capital
University of Brighton - Grand Parade - Brighton & Hove,50.824207,-0.13547898,Solar PV,60,School
University of Brighton - Varley Park Halls of Residence  - Brighton & Hove,50.864001,-0.10852564,Solar PV,30,School
University of Brighton - Robert Dodds - Eastbourne,50.755491,0.26547143,Solar PV,30,School
University of Brighton - Hillbrow Sports Centre - Eastbourne,50.759986,0.26792893,Solar PV,120,School
Westdene Primary School & Nursery - Brighton & Hove,50.86004,-0.16175873,Solar PV,60,School
Woodingdean Primary School - Brighton & Hove,50.836181,-0.078092855,Solar PV,60,School
Ashtead Engineering Company ,51.343706,-0.49801678,Solar PV,Not avalible,Private limited Company
Bird & Blend Tea Co - Worthing,50.816884,-0.42243565,Solar PV,Not avalible,Private limited Company
Digaprint  t/as One Digital - Brighton & Hove,50.839342,-0.073403725,Solar PV,Not avalible,"Private limited Company
                       Community Interest Company (CIC)"
Electronic Temperature Instruments ,50.826664,-0.35633598,Solar PV,75.53,Private limited Company
Eskimo Ice  - Crawley,51.136112,-0.18993925,Solar PV,Not avalible,Private limited Company
Fireco  - Southwick,50.831487,-0.24054486,Solar PV,Not avalible,Private limited Company
Firetoys  - Shoreham-by-Sea,50.829828,-0.25527605,Solar PV,Not avalible,Private limited Company
Heritage Parts Centre - Shoreham-by-Sea,50.833407,-0.2606953,Solar PV,Not avalible,Private limited Company
Morgan Contract Furniture  - Emsworth,50.851527,-0.90959351,Solar PV,Not avalible,Private limited Company
Munneries  - Chichester,50.767927,-0.87435598,Solar PV,Not avalible,Private limited Company
Naiad Plastics  - Littlehampton,50.818537,-0.55642291,Solar PV,Not avalible,Private limited Company
Panthera Group  - Redhill,51.201937,-0.15801545,Solar PV,Not avalible,Private limited Company
Selsey Press  - Selsey,50.73399,-0.79188956,Solar PV,Not avalible,Private limited Company
Solent Wholesale Carpet Co  - Chichester,50.84616,-0.76364012,Solar PV,100.33,Private limited Company
Sussex Refrigeration Wholesale  - Shoreham-by-Sea,50.829828,-0.25527605,Solar PV,Not avalible,Private limited Company
T&G Engineering Co.  - West Byfleet,51.343706,-0.49801678,Solar PV,Not avalible,Private limited Company
The Woodhorn Group  - Chichester,50.834197,-0.7053632,Solar PV,64,Private limited Company
Weald Electronics  - Horsham,51.065866,-0.42520482,Solar PV,60,Private limited Company
Willard Conservation Equipment Engineers - Chichester,50.829914,-0.78715779,Solar PV,36,Private limited Company
Brighton Earthship - Stanmer Organics - Brighton & Hove,50.870709,-0.10235578,Solar PV,Not avalible,Private limited Company
Moulscecoombe Forest Garden & WIldlife Project - Brighton & Hove,50.844532,-0.1219839,Solar PV,Not avalible,Private Limited Company by guarantee without share capital use of 'Limited' exemption
The Big Lemon - Brighton & Hove,50.817124,-0.10613283,Solar PV,Not avalible,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Marlow Solar Farm project,51.570967,-0.79262062,Solar PV,Not avalible,Private limited Company
Kerry Ingredients Solar [Big Solar Coop],52.316304,-2.597617,Solar PV,300kw,Private limited Company
GRC [Gloucestershire Community Energy Co-op],51.858173,-2.2305205,Solar PV,44.6,Private limited Company
Minchinhampton Primary Academy [Gloucestershire Community Energy Co-op],51.705744,-2.1874585,Solar PV,51,Private limited Company
Brent Pure Energy,51.536496,-0.20765375,Solar PV,210,Community Benefit Society
Malorees Schools [Brent Pure Energy],51.541721,-0.21473104,Solar PV,24,School
Queens Park  School [Brent Pure Energy],51.540557,-0.21864127,Solar PV,50,School
Forest Gate Solar Farm [Eden Renewables],51.440112,-2.0755708,Solar PV,49.9,Limited liability partnership
Red Barn solar farm  [Eden Renewables],51.494382,-2.1301239,Solar PV,60,Private limited Company
MaidEnergy,51.495192,-0.5947474,Solar PV,35kW,Registered Society
Abbot's Mill,51.28431,1.073441,Hydro,20,Private limited Company
 Energy Cumbria,54.66212,-2.74867,Hydro,30,Community Benefit Society
Ellergreen Hydro,54.3526,-2.77249,Hydro,2350,Private limited Company
Esk Energy (Yorkshire) ,54.4696,-0.62652,Hydro,50,Registered Society
Halton Lune Hydro,54.07522,-2.75632,Hydro,140,Registered Society
Low Carbon Hub,51.75427,-1.19797,Hydro,450,Private limited Company
Ludlow  Hydro,52.36317,-2.71569,Hydro,30,Registered society
Neen Sollars  Hydropower Cooperative ,52.38019,-2.48345,Hydro,13,Registered society
Osney Lock Hydro,51.75073,-1.26294,Hydro,56,Registered Society
RainePower Community Energy ,54.11817,-3.24167,Hydro,35,Community Benefit Society
Reading Hydro CBS ,51.461588,-0.964585,Hydro,46,Community Benefit Society
SAnaerobic Digestiondleworth  Hydro ,53.54777,-2.00425,Hydro,51,Overseas entity
Settle Hydro,54.0661,-2.27748,Hydro,45,Registered Society
Stockport Hydro,53.38379,-2.06174,Hydro,68,Registered Society
Totnes Renewable Energy ,50.43089,-3.69123,Hydro,300,Registered Society
Ynni Anafon Energy Cyf.,53.17271,-4.03896,Hydro,270,Registered society
Ynni Ogwen,53.17582,-4.05639,Hydro,100,Registered society
Ynni Padarn Peris,53.14694,-4.11563,Hydro,50,Registered society
Bath & West Community Energy,51.40211,-2.32682,Hydro,13.5,Registered society
Llangattock Green Valleys  Interest Company,52.10617,-3.35508,Hydro,18,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Llangattock Green Valleys  Interest Company,52.10617,-3.35508,Hydro,14.5,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Talybont on Usk Energy,51.88352,-3.30392,Hydro,36,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Corwen Electricity Coop,52.98026,-3.37435,Hydro,55,Registered society
Stockport Hydro,53.40186,-2.09506,Hydro,51,Registered Society
Low Carbon Hub,51.70813,-1.23315,Hydro,440,Private limited Company
Torrs Hydro,53.3646,-2.00044,Hydro,63,Registered society
Llangattock Green Valleys  Interest Company,51.55466,-0.13256,Hydro,29.9,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Llangattock Green Valleys  Interest Company,51.55466,-0.13256,Hydro,18.6,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Ludlow  Hydro,52.3642,-2.72005,Hydro,30,Registered society
Halton Lune Hydro,54.07642,-2.76121,Hydro,140,Registered Society
Bath & West Community Energy,51.35569,-2.49267,Hydro,300,Registered society
Saddleworth  Hydro ,53.5268,-1.97996,Hydro,51,Registered Society
Osney Lock Hydro,51.74985,-1.2732,Hydro,56,Registered Society
Llangattock Green Valleys  Interest Company,51.67185,-3.53502,Hydro,29.9,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Welcome to our Woods,51.66974,-3.52737,Hydro,29,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Whalley  Hydro,53.81802,-2.40607,Hydro,100,Registered Society
Esk Energy (Yorkshire) ,54.47021,-0.62844,Hydro,50,Registered Society
Settle Hydro,54.07252,-2.28106,Hydro,44,Registered Society
Totnes Renewable Energy  (TRESOC),50.43474,-3.68189,Hydro,300,Registered society
RainePower,54.28998,-2.58444,Hydro,35,Registered society
Amber & Derwent Valley Community Energy  Hydro,53.01459,-1.46343,Hydro,leer,Registered society
Reading Hydro CBS,51.460763,-0.96472239,Hydro,Not applicable,Community Benefit Society
 Power Cornwall,50.28267,-5.20943,Wind,203,Registered Society
East Bridgford Community Energy,52.97962,-0.97016,Wind,800,Industrial and Provident Society
Ecodynamic CBS,51.7466,-2.21735,Wind,55,Registered society
Four Winds Energy Cooperative ,53.57524,-1.379,Wind,500,Registered society
Gamlingay  Turbine,52.15536,-0.18822,Wind,330,Private limited Company
High Winds Community Energy  ,54.11847,-3.24159,Wind,4600,Community Benefit Society
Mean Moor Wind Farm,54.11817,-3.24167,Wind,6900,Private limited Company
Pennine  Power,53.7442,-2.08219,Wind,10,Registered Society
Resilient Energy Alvington Court,51.70063,-2.61841,Wind,1000,Private limited Company
Resilient Energy Great Dunkilns,51.45191,-2.58043,Wind,500,Private limited Company
Resilient Energy Mounteneys Renewables ,51.70063,-2.61841,Wind,1000,Community Benefit Society
South Wheatley Environmental Trust,50.7093,-4.48694,Wind,15,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Westmill Wind Farm Co-op,51.61321,-1.6506,Wind,6500,Registered society
Four Winds Energy Cooperative ,53.57565,-1.39049,Wind,500,Registered society
Mean Moor Wind Farm (High Winds CE),54.21055,-3.13611,Wind,6900,Private limited Company
Four Winds Energy Cooperative ,53.24316,-1.35173,Wind,500,Registered society
Pennine  Power,53.7442,-2.08219,Wind,10,Registered Society
Carmarthenshire Energy  / Ynni Sir Gar,51.91811,-3.99888,Wind,575,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Carmarthenshire Energy  / Ynni Sir Gar,51.92026,-4.00373,Wind,510,Private Limited Company by guarantee without share capital use of 'Limited' exemption
YnNi Teg,51.85959,-4.48547,Wind,900,Registered society
The Small Wind Co-operative,52.20578,-4.03611,Wind,185,Registered Society
Baywind Energy Coop ,54.24949,-3.30589,Wind,500,Registered society
Baywind Energy Coop ,54.20329,-3.31275,Wind,500,Registered society
Community Power Cornwall,50.73581,-3.2008,Wind,22,Registered Society
Resilient Energy,51.69511,-2.5839,Wind,500,PLC
Resilient Energy,51.70783,-2.56843,Wind,500,PLC
Bro Dyfi Community Renewables,52.6238,-3.8394,Wind,75,Registered Society
Bro Dyfi Community Renewables,52.6238,-3.8394,Wind,500,Registered Society
Sustainable Hockerton,53.1049,-0.94507,Wind,225,Registered Society
 Power Cornwall,50.62164,-4.33293,Wind,500,Registered Society
Gamlingay  Turbine,52.13039,-0.1594,Wind,330,Private limited Company
Community Power Cornwall,50.2572,-4.82225,Wind,160,Registered Society
Resilient Energy Alvington Court Renewables,51.60536,-2.38631,Wind,1000,Private limited Company
 Power Cornwall,50.28133,-3.69379,Wind,11,Registered Society
South Brent Community Energy ,50.42645,-3.80134,Wind,225,Registered Society
South Brent Community Energy Wind,50.42607,-3.83312,Wind,225,Registered society
Westmill Wind Farm (WWF),51.61409,-1.64698,Wind,6500,Registered society
Abergwaun  Turbine,51.98628,-4.96715,Wind,225,Private limited Company
HottWind@Longley,53.568905,-1.7631393,Wind,225,Registered society
Heart of Devon Community Energy ,50.851059,-3.7491634,Wind,Not applicable,Community Benefit Society
Ambition Community Energy and partners - building largest onshore wind turbine,51.451672,-2.6038982,Wind,4200,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Datblygiadau Egni Gwledig (DEG),53.07914,-4.31408,Low Carbon Transport,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
YnNi Padarn Peris,53.11989,-4.12806,Low Carbon Transport,leer,Registered society
Hook Norton Low Carbon,51.9965,-1.48233,Low Carbon Transport,leer,Registered Society
Basingstoke Energy Services Co-operative,51.26789,-1.0775,Low Carbon Transport,leer,Registered Society
Sport in Desford,52.62186,-1.29307,Low Carbon Transport,leer,Private limited Company
The Green Valleys,51.85837,-3.13595,Low Carbon Transport,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Talybont on Usk Energy,51.93881,-3.29955,Low Carbon Transport,leer,Private Limited Company by guarantee without share capital use of 'Limited' exemption
